City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
teguise,29.0605,-13.564,64.4,72,40,3.44,ES,2021-04-30 01:38:42
ayutthaya,14.2833,100.5,89.01,74,40,6.91,TH,2021-04-30 01:38:42
jamestown,42.097,-79.2353,46.0,100,90,10.36,US,2021-04-30 01:35:32
barrow,71.2906,-156.7887,19.4,86,90,4.61,US,2021-04-30 01:38:43
faanui,-16.4833,-151.75,81.3,69,78,2.19,PF,2021-04-30 01:38:43
sioux lookout,50.1001,-91.917,32.0,74,1,5.75,CA,2021-04-30 01:38:44
albany,42.6001,-73.9662,55.0,83,100,5.99,US,2021-04-30 01:37:21
burnie,-41.0667,145.9167,57.99,81,0,4.0,AU,2021-04-30 01:38:08
hilo,19.7297,-155.09,78.8,65,40,4.61,US,2021-04-30 01:38:44
constantine,36.365,6.6147,57.2,77,0,4.61,DZ,2021-04-30 01:38:45
longyearbyen,78.2186,15.6401,23.0,58,75,5.75,SJ,2021-04-30 01:38:45
karratha,-20.7377,116.8463,91.49,27,0,12.71,AU,2021-04-30 01:38:43
kortkeros,61.8106,51.5806,39.2,60,20,11.18,RU,2021-04-30 01:38:46
nagapattinam,10.7667,79.8333,93.78,51,16,14.27,IN,2021-04-30 01:38:46
ust-barguzin,53.45,108.9833,38.73,62,28,5.46,RU,2021-04-30 01:38:46
provideniya,64.3833,-173.3,26.6,86,90,8.95,RU,2021-04-30 01:34:26
latur,18.4,76.5833,99.82,14,1,8.28,IN,2021-04-30 01:38:47
muisne,0.6,-80.0333,75.51,88,100,3.85,EC,2021-04-30 01:38:47
tekeli,44.83,78.8239,77.68,24,1,9.19,KZ,2021-04-30 01:38:48
port alfred,-33.5906,26.891,64.27,58,71,11.81,ZA,2021-04-30 01:38:48
butaritari,3.0707,172.7902,83.84,72,100,9.64,KI,2021-04-30 01:38:49
chitipa,-9.7024,33.2697,71.19,71,100,7.87,MW,2021-04-30 01:38:49
phan thiet,10.9333,108.1,87.17,65,87,13.6,VN,2021-04-30 01:38:49
yellowknife,62.456,-114.3525,30.2,59,75,12.66,CA,2021-04-30 01:36:50
kieta,-6.2167,155.6333,80.55,81,58,2.51,PG,2021-04-30 01:38:50
isangel,-19.55,169.2667,76.33,73,100,18.14,VU,2021-04-30 01:38:50
anchorage,61.2181,-149.9003,39.99,87,90,5.28,US,2021-04-30 01:35:45
lorengau,-2.0226,147.2712,83.41,74,99,3.31,PG,2021-04-30 01:38:51
laguna,38.421,-121.4238,64.99,51,1,3.44,US,2021-04-30 01:38:51
spresiano,45.7791,12.2563,61.0,88,90,2.3,IT,2021-04-30 01:38:52
alice springs,-23.7,133.8833,80.6,14,6,6.91,AU,2021-04-30 01:38:52
avarua,-21.2078,-159.775,78.8,89,20,4.61,CK,2021-04-30 01:38:52
zhigansk,66.7697,123.3711,33.31,99,100,5.08,RU,2021-04-30 01:38:53
byron bay,-28.65,153.6167,66.2,88,90,5.75,AU,2021-04-30 01:38:53
castro,-24.7911,-50.0119,51.3,90,99,10.02,BR,2021-04-30 01:38:53
champagnole,46.7445,5.9135,45.0,91,100,4.0,FR,2021-04-30 01:38:54
wisconsin rapids,44.3836,-89.8174,52.0,66,90,3.44,US,2021-04-30 01:38:54
moree,-29.4667,149.85,77.0,27,5,9.22,AU,2021-04-30 01:38:55
preobrazheniye,42.9019,133.9064,46.85,65,100,9.69,RU,2021-04-30 01:38:55
punta arenas,-53.15,-70.9167,42.8,93,75,3.44,CL,2021-04-30 01:38:55
walvis bay,-22.9575,14.5053,55.0,93,90,10.36,NA,2021-04-30 01:38:56
flinders,-34.5833,150.8552,69.01,77,16,5.01,AU,2021-04-30 01:38:56
qaanaaq,77.484,-69.3632,24.06,59,100,8.86,GL,2021-04-30 01:38:56
arman,59.7,150.1667,39.29,76,53,1.92,RU,2021-04-30 01:38:57
quatre cocos,-20.2078,57.7625,82.0,78,75,16.11,MU,2021-04-30 01:38:57
lebyazhye,55.2689,66.4947,55.26,36,74,19.53,RU,2021-04-30 01:38:58
atuona,-9.8,-139.0333,79.2,71,3,5.23,PF,2021-04-30 01:38:58
elbistan,38.2059,37.1983,67.51,43,100,1.48,TR,2021-04-30 01:38:58
lebu,-37.6167,-73.65,55.0,92,100,9.57,CL,2021-04-30 01:38:59
altay,47.8667,88.1167,74.57,26,10,6.78,CN,2021-04-30 01:38:59
bagdarin,54.4333,113.6,46.06,36,100,2.3,RU,2021-04-30 01:38:59
berlevag,70.8578,29.0864,30.2,69,75,18.41,NO,2021-04-30 01:39:00
quimper,48.0,-4.1,41.0,81,0,3.44,FR,2021-04-30 01:39:00
vestmannaeyjar,63.4427,-20.2734,42.93,75,99,5.61,IS,2021-04-30 01:39:00
satuk,41.2263,32.3836,59.0,94,100,2.3,TR,2021-04-30 01:39:01
coihaique,-45.5752,-72.0662,49.32,94,100,5.41,CL,2021-04-30 01:39:01
felanitx,39.4696,3.1483,59.0,94,20,1.14,ES,2021-04-30 01:39:02
bluff,-46.6,168.3333,51.01,79,83,7.0,NZ,2021-04-30 01:39:02
stanceni,46.9833,25.2333,56.16,68,100,4.43,RO,2021-04-30 01:39:03
garowe,8.4054,48.4845,84.06,56,85,6.49,SO,2021-04-30 01:39:03
eyrarbakki,63.863,-21.1481,35.6,87,0,2.13,IS,2021-04-30 01:39:04
karlskrona,56.1616,15.5866,44.6,65,0,16.11,SE,2021-04-30 01:39:04
dikson,73.5069,80.5464,16.16,84,28,12.97,RU,2021-04-30 01:39:04
alofi,-19.0595,-169.9187,78.8,89,83,2.3,NU,2021-04-30 01:39:05
kiama,-34.6833,150.8667,69.01,77,12,5.01,AU,2021-04-30 01:39:05
carutapera,-1.195,-46.02,73.65,94,100,4.07,BR,2021-04-30 01:39:05
safford,32.834,-109.7076,64.4,29,1,4.61,US,2021-04-30 01:39:06
adana,36.985,35.2881,75.2,68,0,4.61,TR,2021-04-30 01:39:06
nome,64.5011,-165.4064,24.8,68,1,16.11,US,2021-04-30 01:39:06
zhuanghe,39.7008,122.9911,58.64,35,100,8.72,CN,2021-04-30 01:39:07
shubarshi,48.5872,57.1869,57.97,33,0,3.94,KZ,2021-04-30 01:39:07
pevek,69.7008,170.3133,20.25,89,98,8.5,RU,2021-04-30 01:39:08
kaitangata,-46.2817,169.8464,51.01,72,48,1.99,NZ,2021-04-30 01:39:08
nanortalik,60.1432,-45.2371,35.33,83,9,6.85,GL,2021-04-30 01:39:08
hermanus,-34.4187,19.2345,57.99,78,12,5.99,ZA,2021-04-30 01:39:09
kungurtug,50.5994,97.5228,50.58,77,100,4.03,RU,2021-04-30 01:39:09
muros,42.7762,-9.0603,44.01,95,9,6.26,ES,2021-04-30 01:39:09
saskylakh,71.9167,114.0833,33.55,100,100,7.58,RU,2021-04-30 01:39:10
lima,-12.0432,-77.0282,64.99,88,0,4.61,PE,2021-04-30 01:39:07
west bay,19.3667,-81.4167,80.01,86,8,1.01,KY,2021-04-30 01:39:10
vydrino,51.485,104.8461,41.29,76,100,7.31,RU,2021-04-30 01:39:11
cherskiy,68.75,161.3,19.96,92,98,9.8,RU,2021-04-30 01:39:11
ribeira grande,38.5167,-28.7,53.6,76,20,9.22,PT,2021-04-30 01:39:12
sovetskiy,61.3614,63.5842,34.05,97,100,8.99,RU,2021-04-30 01:39:12
ponta do sol,32.6667,-17.1,55.0,72,40,1.01,PT,2021-04-30 01:39:12
manzanillo,20.3433,-77.1167,72.5,85,10,5.14,CU,2021-04-30 01:39:13
guarapari,-20.6667,-40.4975,71.6,73,40,11.5,BR,2021-04-30 01:39:13
yumen,40.2833,97.2,80.96,6,1,17.07,CN,2021-04-30 01:39:14
limbang,4.75,115.0,89.6,70,75,10.36,MY,2021-04-30 01:39:14
boa vista,2.8197,-60.6733,77.0,88,75,5.75,BR,2021-04-30 01:39:15
kudat,6.8837,116.8477,87.8,79,20,11.5,MY,2021-04-30 01:39:15
dukat,62.55,155.55,28.71,88,100,4.7,RU,2021-04-30 01:39:15
baruun-urt,46.6806,113.2792,44.22,32,100,16.71,MN,2021-04-30 01:39:16
cervo,43.6702,-7.4101,46.0,89,11,1.01,ES,2021-04-30 01:39:16
zorritos,-3.6805,-80.6782,73.71,80,100,2.75,PE,2021-04-30 01:39:16
alihe,50.5667,123.7167,44.73,83,100,2.86,CN,2021-04-30 01:39:17
moron,-34.6534,-58.6198,62.01,93,0,4.72,AR,2021-04-30 01:39:17
kazachinskoye,57.6953,93.2761,48.43,74,49,13.96,RU,2021-04-30 01:39:18
severo-kurilsk,50.6789,156.125,38.7,83,50,13.94,RU,2021-04-30 01:39:18
praya,14.9215,-23.5087,69.8,78,20,11.5,CV,2021-04-30 01:39:19
punta alta,-38.8759,-62.0736,62.46,57,0,17.22,AR,2021-04-30 01:38:05
leningradskiy,69.3833,178.4167,20.8,88,81,16.58,RU,2021-04-30 01:38:23
nikolskoye,59.7035,30.7861,46.0,45,0,8.95,RU,2021-04-30 01:39:19
airai,-8.9266,125.4092,68.2,77,98,3.02,TL,2021-04-30 01:39:20
jaisalmer,26.9147,70.9181,100.71,12,5,12.55,IN,2021-04-30 01:39:20
talcahuano,-36.7167,-73.1167,55.4,100,90,8.05,CL,2021-04-30 01:39:21
kapaa,22.0752,-159.319,73.4,68,1,13.8,US,2021-04-30 01:39:21
progreso,21.2833,-89.6667,78.8,69,40,13.8,MX,2021-04-30 01:39:22
general pico,-35.6566,-63.7568,54.21,70,0,11.54,AR,2021-04-30 01:39:22
hithadhoo,-0.6,73.0833,84.27,71,36,6.51,MV,2021-04-30 01:39:23
koupela,12.1794,-0.3517,88.05,47,66,13.98,BF,2021-04-30 01:39:23
krasnyy oktyabr,56.1167,38.8833,50.72,65,100,12.03,RU,2021-04-30 01:39:24
saint george,37.1041,-113.5841,73.4,18,1,5.75,US,2021-04-30 01:39:25
raudeberg,61.9875,5.1352,44.01,69,13,16.28,NO,2021-04-30 01:39:25
grand gaube,-20.0064,57.6608,82.0,80,10,11.01,MU,2021-04-30 01:39:26
thinadhoo,0.5333,72.9333,83.75,69,8,3.56,MV,2021-04-30 01:39:26
kodiak,57.79,-152.4072,42.8,81,75,3.44,US,2021-04-30 01:37:19
cape town,-33.9258,18.4232,60.01,82,0,11.5,ZA,2021-04-30 01:39:27
norman wells,65.282,-126.8329,33.8,40,20,3.44,CA,2021-04-30 01:39:27
mayumba,-3.432,10.6554,78.42,87,100,2.89,GA,2021-04-30 01:39:28
sokolo,14.7328,-6.1219,90.91,31,50,6.49,ML,2021-04-30 01:39:28
minsk,53.9,27.5667,53.6,87,40,11.18,BY,2021-04-30 01:39:28
atar,20.5169,-13.0499,74.77,39,86,6.35,MR,2021-04-30 01:39:29
sao filipe,14.8961,-24.4956,72.01,74,58,8.3,CV,2021-04-30 01:39:29
petatlan,17.5167,-101.2667,75.63,85,100,2.37,MX,2021-04-30 01:39:30
comodoro rivadavia,-45.8667,-67.5,66.2,39,0,8.05,AR,2021-04-30 01:39:30
grand-santi,4.25,-54.3833,71.64,99,100,2.13,GF,2021-04-30 01:39:30
antequera,37.0194,-4.5612,59.0,67,0,12.66,ES,2021-04-30 01:39:31
saint anthony,45.0205,-93.218,57.2,28,1,14.97,US,2021-04-30 01:39:31
quelimane,-17.8786,36.8883,77.0,94,75,3.44,MZ,2021-04-30 01:39:31
dargaville,-35.9333,173.8833,57.78,88,54,4.94,NZ,2021-04-30 01:39:32
thompson,55.7435,-97.8558,19.4,79,40,6.89,CA,2021-04-30 01:35:46
new norfolk,-42.7826,147.0587,64.0,76,7,1.03,AU,2021-04-30 01:39:32
asau,46.4333,26.4,59.0,48,99,3.06,RO,2021-04-30 01:39:33
jumla,29.2747,82.1838,64.94,43,100,5.17,NP,2021-04-30 01:39:33
mehamn,71.0357,27.8492,28.4,54,75,23.02,NO,2021-04-30 01:39:34
ulaangom,49.9811,92.0667,66.69,27,74,11.5,MN,2021-04-30 01:39:34
shimoda,34.6667,138.95,68.0,68,20,21.85,JP,2021-04-30 01:39:34
eureka,40.8021,-124.1637,50.0,89,100,2.75,US,2021-04-30 01:39:35
muborak,39.2553,65.1528,82.38,30,100,17.81,UZ,2021-04-30 01:39:35
goure,13.9835,10.2704,91.0,7,7,4.0,NE,2021-04-30 01:39:35
luderitz,-26.6481,15.1594,59.54,56,0,16.78,NA,2021-04-30 01:39:36
gurupi,-11.7292,-49.0686,70.9,91,94,2.68,BR,2021-04-30 01:39:36
bourail,-21.5667,165.4833,72.91,65,100,4.03,NC,2021-04-30 01:39:37
sitka,57.0531,-135.33,44.6,87,90,6.91,US,2021-04-30 01:39:37
narsaq,60.9167,-46.05,37.4,81,75,4.0,GL,2021-04-30 01:37:11
severnyy,50.677,36.5532,53.6,58,0,11.18,RU,2021-04-30 01:39:38
manzhouli,49.6,117.4333,43.57,35,97,5.17,CN,2021-04-30 01:39:38
ilulissat,69.2167,-51.1,28.4,86,77,3.6,GL,2021-04-30 01:35:56
poli,-3.3333,36.8,69.8,100,75,2.8,TZ,2021-04-30 01:39:39
troitsko-pechorsk,62.7084,56.1964,42.13,29,100,7.9,RU,2021-04-30 01:39:39
kahului,20.8947,-156.47,73.4,94,40,9.22,US,2021-04-30 01:39:39
zyryanskoye,56.8306,86.6258,52.65,49,94,17.43,RU,2021-04-30 01:39:40
matay,28.419,30.7792,91.58,12,0,11.5,EG,2021-04-30 01:39:40
bambous virieux,-20.3428,57.7575,82.0,78,75,16.11,MU,2021-04-30 01:39:41
mapimi,25.8167,-103.85,60.96,62,0,9.57,MX,2021-04-30 01:39:41
renqiu,38.6989,116.0936,61.77,31,18,5.68,CN,2021-04-30 01:36:11
gigmoto,13.7796,124.39,83.64,64,35,3.04,PH,2021-04-30 01:39:42
iqaluit,63.7506,-68.5145,33.8,93,90,9.22,CA,2021-04-30 01:39:42
clyde river,70.4692,-68.5914,15.8,92,75,3.44,CA,2021-04-30 01:39:42
balikpapan,-1.2675,116.8289,85.73,63,30,5.21,ID,2021-04-30 01:39:43
japura,-0.3167,102.35,80.19,90,100,0.85,ID,2021-04-30 01:39:43
iwanai,42.9744,140.5089,43.34,95,100,9.24,JP,2021-04-30 01:39:44
ankazobe,-18.3167,47.1167,68.0,77,75,6.91,MG,2021-04-30 01:39:44
bandarbeyla,9.4942,50.8122,86.47,63,75,7.56,SO,2021-04-30 01:39:45
akyab,20.15,92.9,87.24,62,0,11.7,MM,2021-04-30 01:39:45
christchurch,-43.5333,172.6333,55.99,71,90,10.36,NZ,2021-04-30 01:37:00
gornopravdinsk,60.05,69.9,47.19,51,93,12.37,RU,2021-04-30 01:39:46
vao,-22.6667,167.4833,74.91,58,88,21.77,NC,2021-04-30 01:37:02
tartagal,-22.5164,-63.8013,55.58,77,0,2.51,AR,2021-04-30 01:39:46
anadyr,64.75,177.4833,24.8,86,0,6.71,RU,2021-04-30 01:39:47
tahta,26.7693,31.5021,84.2,13,0,2.3,EG,2021-04-30 01:39:47
uaua,-9.8414,-39.4817,67.48,95,34,10.87,BR,2021-04-30 01:39:47
the valley,18.217,-63.0578,78.8,78,20,11.5,AI,2021-04-30 01:39:48
veraval,20.9,70.3667,89.71,51,100,10.49,IN,2021-04-30 01:36:07
geraldton,-28.7667,114.6,75.2,38,40,13.8,AU,2021-04-30 01:39:48
oriximina,-1.7656,-55.8661,72.43,95,69,2.21,BR,2021-04-30 01:39:49
mazamet,43.49,2.373,48.99,100,90,5.75,FR,2021-04-30 01:39:49
constitucion,-35.3333,-72.4167,53.67,92,100,3.24,CL,2021-04-30 01:39:49
portland,45.5234,-122.6762,55.99,67,100,1.19,US,2021-04-30 01:32:29
taltal,-25.4,-70.4833,62.02,81,38,1.5,CL,2021-04-30 01:39:50
esperance,-33.8667,121.9,60.8,63,40,17.27,AU,2021-04-30 01:39:51
aras,42.5617,-2.356,48.99,93,40,3.44,ES,2021-04-30 01:39:51
maridi,4.9158,29.4742,75.27,70,100,3.83,SS,2021-04-30 01:39:51
upington,-28.4478,21.2561,51.8,76,0,4.61,ZA,2021-04-30 01:39:52
yevlax,40.6089,47.1492,69.8,60,0,3.44,AZ,2021-04-30 01:39:52
fortuna,40.5982,-124.1573,46.4,100,1,3.09,US,2021-04-30 01:39:52
les cayes,18.2,-73.75,74.39,77,94,4.05,HT,2021-04-30 01:39:53
vallenar,-28.5708,-70.7581,54.12,87,5,0.36,CL,2021-04-30 01:39:53
lewisporte,49.2499,-55.0482,41.0,93,75,5.75,CA,2021-04-30 01:39:54
hamilton,39.1834,-84.5333,53.01,93,1,5.75,US,2021-04-30 01:37:38
motala,58.5371,15.0365,41.0,56,0,8.05,SE,2021-04-30 01:39:54
zonguldak,41.25,31.8333,59.0,94,100,2.3,TR,2021-04-30 01:39:54
itaqui,-29.1253,-56.5531,54.05,78,0,8.5,BR,2021-04-30 01:39:55
khatanga,71.9667,102.5,33.17,100,100,2.35,RU,2021-04-30 01:38:26
talnakh,69.4865,88.3972,32.68,95,13,1.14,RU,2021-04-30 01:39:55
gat,31.61,34.7642,81.0,45,0,7.94,IL,2021-04-30 01:39:56
nelson bay,-32.7167,152.15,70.0,73,0,10.36,AU,2021-04-30 01:39:56
pisticci,40.3906,16.5568,60.01,88,90,3.44,IT,2021-04-30 01:39:56
bousso,10.4795,16.7117,89.55,39,45,4.59,TD,2021-04-30 01:39:57
songjianghe,42.1859,127.479,52.36,42,100,9.08,CN,2021-04-30 01:39:57
maceio,-9.6658,-35.7353,73.4,94,20,3.44,BR,2021-04-30 01:38:27
marystown,47.1666,-55.1483,36.0,91,81,3.8,CA,2021-04-30 01:39:58
neiafu,-18.65,-173.9833,78.8,94,75,2.3,TO,2021-04-30 01:38:28
port macquarie,-31.4333,152.9167,69.8,73,90,8.05,AU,2021-04-30 01:39:58
kuybysheve,47.358,36.6491,60.44,68,8,8.68,UA,2021-04-30 01:40:47
makat,47.6469,53.3463,62.13,26,0,9.04,KZ,2021-04-30 01:40:47
belaya gora,68.5333,146.4167,31.73,89,100,6.42,RU,2021-04-30 01:40:48
codrington,-38.2667,141.9667,69.39,44,0,7.02,AU,2021-04-30 01:40:48
bathsheba,13.2167,-59.5167,78.8,65,40,11.5,BB,2021-04-30 01:40:48
santa ines,-3.6667,-45.38,72.46,98,100,3.04,BR,2021-04-30 01:40:49
arrah,25.5667,84.6667,91.4,29,40,11.5,IN,2021-04-30 01:40:49
sao felix do xingu,-6.6447,-51.995,69.66,98,32,0.81,BR,2021-04-30 01:40:50
isiro,2.7739,27.616,73.45,77,93,3.6,CD,2021-04-30 01:40:50
hasaki,35.7333,140.8333,79.0,56,20,12.66,JP,2021-04-30 01:39:12
mahebourg,-20.4081,57.7,78.8,78,75,16.11,MU,2021-04-30 01:40:50
robertsport,6.7533,-11.3686,81.25,76,100,3.76,LR,2021-04-30 01:40:51
berezovyy,51.6667,135.7,36.34,84,94,8.46,RU,2021-04-30 01:40:51
derzhavinsk,51.1,66.3167,57.29,31,8,9.91,KZ,2021-04-30 01:40:52
bar harbor,44.3876,-68.2039,46.99,100,90,3.44,US,2021-04-30 01:40:52
mweka,-4.85,21.5667,74.03,90,100,1.03,CD,2021-04-30 01:40:52
rio gallegos,-51.6226,-69.2181,39.2,100,90,4.61,AR,2021-04-30 01:37:47
lanzhou,36.0564,103.7922,71.6,15,40,4.47,CN,2021-04-30 01:38:02
faya,18.3851,42.4509,69.8,45,20,13.8,SA,2021-04-30 01:40:53
kununurra,-15.7667,128.7333,95.0,24,0,9.22,AU,2021-04-30 01:40:53
hereford,52.0568,-2.7148,37.99,96,94,3.33,GB,2021-04-30 01:40:54
fairburn,33.5671,-84.581,70.0,88,75,10.36,US,2021-04-30 01:40:54
raha,26.2333,92.5167,106.21,13,33,7.09,IN,2021-04-30 01:40:55
suntar,62.1444,117.6319,43.2,55,99,5.84,RU,2021-04-30 01:40:55
ust-tsilma,65.441,52.1498,39.13,47,100,8.7,RU,2021-04-30 01:40:56
nabire,-3.3667,135.4833,83.98,68,54,6.2,ID,2021-04-30 01:40:56
nasturelu,43.6667,25.4667,57.99,82,48,1.01,RO,2021-04-30 01:40:56
middelburg,-25.7751,29.4648,60.22,54,100,11.05,ZA,2021-04-30 01:40:57
krasnyy chikoy,50.3643,108.7512,48.61,30,100,5.5,RU,2021-04-30 01:40:57
kamenka,51.3223,42.7678,59.0,36,100,5.99,RU,2021-04-30 01:40:58
zmeinogorsk,51.1567,82.195,51.13,71,100,10.16,RU,2021-04-30 01:40:58
kamaishi,39.2667,141.8833,53.6,66,75,5.75,JP,2021-04-30 01:40:58
puerto narino,-3.7703,-70.3831,73.4,100,75,2.3,CO,2021-04-30 01:40:59
qui nhon,13.7667,109.2333,83.71,67,16,9.69,VN,2021-04-30 01:40:59
sogne,58.0833,7.8167,45.0,52,0,9.22,NO,2021-04-30 01:40:59
kenora,49.8167,-94.4337,32.0,59,1,6.91,CA,2021-04-30 01:41:00
sao mateus,-18.7161,-39.8589,67.6,91,51,6.44,BR,2021-04-30 01:39:10
bethel,41.3712,-73.414,62.6,77,90,10.36,US,2021-04-30 01:41:00
nakatsugawa,35.4833,137.5,64.0,41,68,8.99,JP,2021-04-30 01:41:01
laramie,41.3114,-105.5911,46.99,75,1,4.61,US,2021-04-30 01:37:49
jeremoabo,-10.075,-38.4808,67.6,98,60,4.0,BR,2021-04-30 01:41:01
curug,-6.2658,106.5564,91.99,66,20,12.66,ID,2021-04-30 01:41:02
san patricio,28.017,-97.5169,73.4,88,90,12.66,US,2021-04-30 01:41:02
vila velha,-20.3297,-40.2925,71.6,73,40,11.5,BR,2021-04-30 01:41:02
komsomolskiy,40.4272,71.7189,86.0,23,5,2.3,UZ,2021-04-30 01:41:03
umm kaddadah,13.6017,26.6876,85.55,42,48,7.07,SD,2021-04-30 01:41:03
lukovetskiy,64.2956,41.9211,33.8,86,75,4.47,RU,2021-04-30 01:41:04
san cristobal,7.7669,-72.225,65.88,99,100,1.88,VE,2021-04-30 01:41:04
udachnyy,66.4167,112.4,33.71,99,78,9.48,RU,2021-04-30 01:41:04
valparaiso,-33.0393,-71.6273,57.0,83,97,4.21,CL,2021-04-30 01:41:05
stornoway,58.2093,-6.3865,41.0,87,75,5.75,GB,2021-04-30 01:41:05
high rock,26.6208,-78.2833,76.66,75,74,16.37,BS,2021-04-30 01:41:06
hay river,60.8156,-115.7999,39.2,48,100,12.66,CA,2021-04-30 01:41:06
santa maria,-29.6842,-53.8069,51.67,90,0,4.59,BR,2021-04-30 01:41:06
chokwe,-24.5333,32.9833,79.02,59,5,6.96,MZ,2021-04-30 01:41:07
cabo san lucas,22.8909,-109.9124,66.0,55,0,10.16,MX,2021-04-30 01:41:07
nichinan,31.6,131.3667,78.8,44,20,21.85,JP,2021-04-30 01:41:07
belmonte,-15.8631,-38.8828,75.2,78,75,9.22,BR,2021-04-30 01:41:08
mujiayingzi,42.1167,118.7833,54.46,10,100,4.12,CN,2021-04-30 01:41:08
damghan,36.1683,54.348,72.43,24,0,2.51,IR,2021-04-30 01:41:09
ugoofaaru,5.6667,73.0,84.11,71,29,5.23,MV,2021-04-30 01:41:09
owando,-0.4819,15.8999,75.49,86,100,2.93,CG,2021-04-30 01:41:09
deputatskiy,69.3,139.9,25.23,88,100,3.53,RU,2021-04-30 01:41:10
vila franca do campo,37.7167,-25.4333,55.4,82,75,4.61,PT,2021-04-30 01:41:10
marrakesh,31.6315,-8.0083,59.0,72,75,9.22,MA,2021-04-30 01:41:10
cidreira,-30.1811,-50.2056,64.02,83,3,8.46,BR,2021-04-30 01:41:11
cravo norte,6.3017,-70.2041,72.01,98,100,5.48,CO,2021-04-30 01:37:00
port hedland,-20.3167,118.5667,95.0,24,0,11.5,AU,2021-04-30 01:39:34
padang,-0.9492,100.3543,86.0,74,20,6.91,ID,2021-04-30 01:41:11
ambilobe,-13.2,49.05,86.4,59,24,3.15,MG,2021-04-30 01:41:12
